CIE-10	Enfermedad	MF	MG	MF o MG	Atencion_primaria	Especialistas	Especialista_1	A1	A2	A3	A4	A5	Especialista_1_Total_k	Especialista_2	B1	B2	B3	B4	B5	Especialista_2_Total_k	Especialista_3	C1	C2	C3	C4	C5	Especialista_3_Total_k	Especialista_4	D1	D2	D3	D4	D5	Especialista_4_Total_k	Especialista_5	E1	E2	E3	E4	E5	Especialista_5_Total_k	Totales	Grupo Etario
J20.9	BRONQUITIS AGUDA, NO ESPECIFICADA	2	0	2	4	1	MEDICINA INTERNA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J30.0	RINITIS VASOMOTORA	1	0	2	3	2	OTORRINOLARINGOLOGIA	0	1	0	1	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J30.2	OTRA RINITIS ALERGICA ESTACIONAL	0	0	5	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J30.3	OTRAS RINITIS ALERGICAS	0	0	5	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J30.4	RINITIS ALERGICA, NO ESPECIFICADA	0	0	5	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J31.0	RINITIS CRONICA	1	0	1	2	3	OTORRINOLARINGOLOGIA	0	3	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J31.1	RINOFARINGITIS CRONICA	0	0	1	1	4	OTORRINOLARINGOLOGIA	0	2	1	0	1	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J31.2	FARINGITIS CRONICA	0	0	1	1	4	OTORRINOLARINGOLOGIA	1	2	1	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J34.1	QUISTE Y MUCOCELE DE LA NARIZ Y DEL SENO PARANASAL	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	1	0	0	0	0	1	OTORRINOLARINGOLOGIA	2	1	1	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J34.2	DESVIACION DEL TABIQUE NASAL	0	0	0	0	5	OTORRINOLARINGOLOGIA	3	1	0	0	1	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J34.3	HIPERTROFIA DE LOS CORNETES NASALES	0	0	0	0	5	OTORRINOLARINGOLOGIA	0	4	0	0	1	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J34.8	OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES	2	0	0	2	3	OTORRINOLARINGOLOGIA	0	2	0	0	1	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J45.0	ASMA PREDOMINANTEMENTE ALERGICA	2	0	1	3	2	NEUMOLOGIA	0	2	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J45.1	ASMA NO ALERGICA	1	0	2	3	2	NEUMOLOGIA	0	1	1	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J45.8	ASMA MIXTA	1	0	0	1	4	NEUMOLOGIA	1	2	0	0	0	3	MEDICINA INTERNA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
J45.9	ASMA, NO ESPECIFICADO	1	0	2	3	2	NEUMOLOGIA	0	0	1	0	0	1	MEDICINA INTERNA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K30	DISPEPSIA	1	0	4	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.0	GASTRITIS AGUDA HEMORRAGICA	0	0	0	0	5	GASTROENTEROLOGIA	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.1	OTRAS GASTRITIS AGUDAS	0	0	3	3	2	GASTROENTEROLOGIA	0	2	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.3	GASTRITIS CRONICA SUPERFICIAL	0	0	2	2	3	GASTROENTEROLOGIA	0	3	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.4	GASTRITIS CRONICA ATROFICA	0	0	0	0	5	GASTROENTEROLOGIA	3	2	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.5	GASTRITIS CRONICA, NO ESPECIFICADA	0	1	1	2	3	GASTROENTEROLOGIA	0	3	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.6	OTRAS GASTRITIS	0	1	1	2	3	GASTROENTEROLOGIA	0	3	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.7	GASTRITIS, NO ESPECIFICADA	0	1	1	2	3	GASTROENTEROLOGIA	0	3	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K29.9	GASTRODUODENITIS, NO ESPECIFICADA	0	0	0	0	5	GASTROENTEROLOGIA	1	4	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K40.0	HERNIA INGUINAL BILATERAL CON OBSTRUCCION, SIN GANGRENA	0	0	0	0	5	CIRUGIA GENERAL	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K40.2	HERNIA INGUINAL BILATERAL, SIN OBSTRUCCION NI GANGRENA	0	0	0	0	5	CIRUGIA GENERAL	4	0	0	1	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K40.3	HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, CON OBSTRUCCION, SIN GANGRENA	0	0	0	0	5	CIRUGIA GENERAL	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K40.4	HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, CON GANGRENA	0	0	0	0	5	CIRUGIA GENERAL	4	1	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K40.9	HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCION NI GANGRENA	0	0	0	0	5	CIRUGIA GENERAL	4	0	0	1	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K59.0	CONSTIPACION	0	0	5	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K59.1	DIARREA FUNCIONAL	2	0	0	2	3	GASTROENTEROLOGIA	0	2	0	0	0	2	MEDICINA INTERNA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K59.2	INTESTINO NEUROGENICO, NO CLASIFICADO EN OTRA PARTE	0	0	0	0	5	GASTROENTEROLOGIA	3	2	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K59.3	MEGACOLON, NO CLASIFICADO EN OTRA PARTE	0	0	0	0	5	GASTROENTEROLOGIA	2	3	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K59.8	OTROS TRASTORNOS FUNCIONALES ESPECIFICADOS DEL INTESTINO	1	0	1	2	3	GASTROENTEROLOGIA	0	2	1	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K59.9	TRASTORNO FUNCIONAL INTESTINAL, NO ESPECIFICADO	1	0	1	2	3	GASTROENTEROLOGIA	2	0	0	0	0	2	MEDICINA INTERNA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K80.0	CALCULO DE LA VESICULA BILIAR CON COLECISTITIS AGUDA	0	0	0	0	5	CIRUGIA GENERAL	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K80.1	CALCULO DE LA VESICULA BILIAR CON OTRA COLECISTITIS	0	0	0	0	5	CIRUGIA GENERAL	4	1	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K80.2	CALCULO DE LA VESICULA BILIAR SIN COLECISTITIS	0	0	0	0	5	CIRUGIA GENERAL	4	1	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K80.3	CALCULO DE CONDUCTO BILIAR CON COLANGITIS	0	0	0	0	5	CIRUGIA GENERAL	3	0	0	0	0	3	GASTROENTEROLOGIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K80.4	CALCULO DE CONDUCTO BILIAR CON COLECISTITIS	0	0	0	0	5	CIRUGIA GENERAL	3	1	0	0	0	4	GASTROENTEROLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K80.5	CALCULO DE CONDUCTO BILIAR SIN COLANGITIS NI COLECISTITIS	0	0	0	0	5	CIRUGIA GENERAL	3	1	0	0	0	4	GASTROENTEROLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K80.8	OTRAS COLELITIASIS	0	0	0	0	5	CIRUGIA GENERAL	3	2	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K81.0	COLECISTITIS AGUDA	0	0	0	0	5	CIRUGIA GENERAL	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K81.1	COLECISTITIS CRONICA	0	0	0	0	5	CIRUGIA GENERAL	3	1	1	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K81.8	OTRAS COLECISTITIS	0	0	0	0	5	CIRUGIA GENERAL	4	1	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
K81.9	COLECISTITIS, NO ESPECIFICADA	0	0	0	0	5	CIRUGIA GENERAL	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L02.0	ABSCESO CUTANEO, FURUNCULO Y ANTRAX DE LA CARA	1	0	0	1	4	CIRUGIA GENERAL	3	0	0	0	0	3	DERMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L02.1	ABSCESO CUTANEO, FURÃNCULO Y ANTRAX DEL CUELLO	1	0	0	1	4	CIRUGIA GENERAL	3	1	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L02.2	ABSCESO CUTANEO, FURUNCULO Y ANTRAX DEL TRONCO	1	0	0	1	4	CIRUGIA GENERAL	3	1	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L02.3	ABSCESO CUTANEO, FURUNCULO Y ANTRAX DE GLUTEOS	1	0	0	1	4	CIRUGIA GENERAL	3	0	0	0	0	3	DERMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L02.4	ABSCESO CUTANEO, FURUNCULO Y ANTRAX DE MIEMBRO	1	0	0	1	4	CIRUGIA GENERAL	2	1	0	0	0	3	DERMATOLOGIA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L02.8	ABSCESO CUTANEO, FURUNCULO Y ANTRAX DE OTROS SITIOS	1	0	0	1	4	CIRUGIA GENERAL	3	0	0	0	0	3	DERMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L02.9	ABSCESO CUTANEO, FURUNCULO Y ANTRAX DE SITIO NO ESPECIFICADO	1	0	0	1	4	CIRUGIA GENERAL	3	0	0	0	0	3	DERMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L03.0	CELULITIS DE LOS DEDOS DE LA MANO Y DEL PIE	2	1	2	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L03.1	CELULITIS DE OTRAS PARTES DE LOS MIEMBROS	3	0	2	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L03.2	CELULITIS DE LA CARA	4	0	0	4	1	MEDICINA INTERNA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L03.3	CELULITIS DEL TRONCO	2	0	2	4	1	MEDICINA INTERNA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L03.8	CELULITIS DE OTROS SITIOS	2	1	2	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L03.9	CELULITIS DE SITIO NO ESPECIFICADO	4	0	1	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L20.0	PRURIGO DE BESNIER	2	0	0	2	3	DERMATOLOGIA	1	2	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L20.8	OTRAS DERMATITIS ATOPICAS	2	0	0	2	3	DERMATOLOGIA	0	1	2	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L20.9	DERMATITIS ATOPICA, NO ESPECIFICADA	2	0	1	3	2	DERMATOLOGIA	1	0	1	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L21.0	SEBORREA CAPITIS	2	0	0	2	3	DERMATOLOGIA	1	2	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L21.8	OTRAS DERMATITIS SEBORREICAS	2	0	0	2	3	DERMATOLOGIA	1	0	2	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L21.9	DERMATITIS SEBORREICA, NO ESPECIFICADA	2	0	0	2	3	DERMATOLOGIA	0	2	1	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L30.0	DERMATITIS NUMULAR	0	0	0	0	5	DERMATOLOGIA	1	4	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L30.1	DISHIDROSIS [PONFOLIX]	2	0	0	2	3	DERMATOLOGIA	0	3	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L30.3	DERMATITIS INFECCIOSA	2	0	1	3	2	DERMATOLOGIA	1	0	0	0	0	1	MEDICINA INTERNA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L30.4	ERITEMA INTERTRIGO	2	0	0	2	3	DERMATOLOGIA	1	1	0	0	0	2	ENDOCRINOLOGIA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L30.5	PITIRIASIS ALBA	4	0	0	4	1	DERMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L30.8	OTRAS DERMATITIS ESPECIFICADAS	1	0	2	3	2	DERMATOLOGIA	0	1	1	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L30.9	DERMATITIS, NO ESPECIFICADA	3	0	1	4	1	DERMATOLOGIA	0	0	1	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L50.0	URTICARIA ALERGICA	2	0	3	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L50.1	URTICARIA IDIOPATICA	1	0	0	1	4	DERMATOLOGIA	2	1	0	1	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L50.3	URTICARIA DERMATOGRAFICA	3	0	2	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L50.6	URTICARIA POR CONTACTO	2	0	3	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L50.8	OTRAS URTICARIAS	0	0	3	3	2	MEDICINA INTERNA	1	0	0	0	0	1	DERMATOLOGIA	0	0	0	1	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L50.9	URTICARIA, NO ESPECIFICADA	0	0	3	3	2	MEDICINA INTERNA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L70.0	ACNE VULGAR	2	0	0	2	3	DERMATOLOGIA	1	2	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L70.1	ACNE CONGLOBADO	0	0	0	0	5	DERMATOLOGIA	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L70.2	ACNE VARIOLIFORME	0	0	0	0	5	DERMATOLOGIA	4	1	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L70.3	ACNE TROPICAL	0	0	0	0	5	DERMATOLOGIA	3	2	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L70.5	ACNE EXCORIADO DE LA MUJER JOVEN	1	0	0	1	4	DERMATOLOGIA	3	1	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L70.8	OTROS ACNES	2	0	1	3	2	DERMATOLOGIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
L70.9	ACNE, NO ESPECIFICADO	2	0	1	3	2	DERMATOLOGIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.0	MENISCO QUISTICO	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	3	1	1	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.1	MENISCO DISCOIDE (CONGENITO)	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.2	TRASTORNO DE MENISCO DEBIDO A DESGARRO O LESION ANTIGUA	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	4	1	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.3	OTROS TRASTORNOS DE LOS MENISCOS	0	0	1	1	4	ORTOPEDIA Y TRAUMATOLOGIA	3	1	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.5	INESTABILIDAD CRONICA DE LA RODILLA	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	4	0	0	0	0	4	MEDICINA FISICA Y REHABILITACION	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.6	OTRA RUPTURA ESPONTANEA DEL (DE LOS) LIGAMENTO(S) DE LA RODILLA	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	5	0	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.8	OTROS TRASTORNOS INTERNOS DE LA RODILLA	0	0	1	1	4	ORTOPEDIA Y TRAUMATOLOGIA	2	2	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M23.9	TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO	0	0	1	1	4	ORTOPEDIA Y TRAUMATOLOGIA	2	2	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.0	HEMARTROSIS	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	4	0	0	0	0	4	REUMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.2	ARTICULACION INESTABLE	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	3	2	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.3	OTRAS INESTABILIDADES ARTICULARES	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	4	0	0	0	0	4	MEDICINA FISICA Y REHABILITACION	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.4	DERRAME ARTICULAR	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	3	0	0	0	0	3	REUMATOLOGIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.5	DOLOR EN ARTICULACION	0	1	4	5	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.6	RIGIDEZ ARTICULAR, NO CLASIFICADA EN OTRA PARTE	2	0	2	4	1	MEDICINA FISICA Y REHABILITACION	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.7	OSTEOFITO	0	0	2	2	3	ORTOPEDIA Y TRAUMATOLOGIA	1	0	0	1	0	2	REUMATOLOGIA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M25.9	TRASTORNO ARTICULAR, NO ESPECIFICADO	1	0	2	3	2	ORTOPEDIA Y TRAUMATOLOGIA	0	1	0	0	0	1	REUMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M41.1	ESCOLIOSIS IDIOPATICA JUVENIL	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	2	1	0	0	0	3	MEDICINA FISICA Y REHABILITACION	0	1	0	0	0	1	NEUROCIRUGIA	0	0	1	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M41.2	OTRAS ESCOLIOSIS IDIOPATICAS	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	1	2	0	0	0	3	MEDICINA FISICA Y REHABILITACION	1	0	0	0	0	1	NEUROCIRUGIA	0	0	0	0	1	1		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M41.3	ESCOLIOSIS TORACOGENICA	0	0	0	0	5	OTORRINOLARINGOLOGIA	1	0	0	0	0	1	MEDICINA FISICA Y REHABILITACION	1	0	0	0	0	1	ONCOLOGIA MEDICA	1	0	0	0	0	1	ORTOPEDIA Y TRAUMATOLOGIA	1	0	0	0	0	1	NEUROCIRUGIA	1	0	0	0	0	1	5	C
M41.8	OTRAS FORMAS DE ESCOLIOSIS	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	2	1	0	0	0	3	MEDICINA FISICA Y REHABILITACION	0	1	0	0	0	1	NEUROCIRUGIA	0	0	0	0	1	1		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M41.9	ESCOLIOSIS, NO ESPECIFICADA	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	1	2	0	0	1	4	MEDICINA FISICA Y REHABILITACION	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M51.0	TRASTORNOS DE DISCOS INTERVERTEBRALES LUMBARES Y OTROS, CON MIELOPATIA (G99.2*)	0	0	0	0	5	NEUROLOGIA	1	0	0	0	0	1	ORTOPEDIA Y TRAUMATOLOGIA	0	1	0	0	0	1	NEUROCIRUGIA	3	0	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M51.1	TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATIA	0	0	1	1	4	NEUROLOGIA	0	1	0	0	0	1	NEUROCIRUGIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M51.2	OTROS DESPLAZAMIENTOS ESPECIFICADOS DE DISCO INTERVERTEBRAL	0	0	0	0	5	NEUROLOGIA	0	1	0	0	0	1	NEUROCIRUGIA	3	1	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M51.3	OTRAS DEGENERACIONES ESPECIFICADAS DE DISCO INTERVERTEBRAL	0	0	0	0	5	NEUROLOGIA	0	1	0	0	0	1	ORTOPEDIA Y TRAUMATOLOGIA	0	1	0	0	0	1	NEUROCIRUGIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0	5	C
M51.8	OTROS TRASTORNOS ESPECIFICADOS DE LOS DISCOS INTERVERTEBRALES	1	0	0	1	4	NEUROLOGIA	0	1	0	0	0	1	NEUROCIRUGIA	3	0	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	C
